"","vm1r","vm2r","vm1c","vm2c","rt","thr","activedurationvm1","avm1","bwrxvm1","bwtxvm1","uvm1","memcommitedvm1","memresidentvm1","netusagerxvm1","netusagetxvm1","qvm1","quvm1","queuestatusvm1","stealvm1","activedurationvm2","avm2","bwrxvm2","bwtxvm2","uvm2","memcommitedvm2","memresidentvm2","netusagerxvm2","netusagetxvm2","qvm2","quvm2","queuestatusvm2","stealvm2"
29,10,10,10,50,5381.53,27.68,2.04,0.50,3485423.34,3526625.17,0.24,18.89,0.00,27.51,27.62,2301.16,0.02,0.03,0.04,0.96,0.34,2653391.08,2656953.13,0.04,22.94,0.00,20.06,20.03,2687.54,0.06,-0.14,0.00
30,10,10,10,50,5660.00,28.00,2.09,0.51,3667876.14,3691121.23,0.24,19.45,0.00,27.64,27.73,2332.26,0.02,0.03,0.05,1.00,0.34,2663296.68,2678931.03,0.04,23.03,0.00,20.10,20.23,2748.86,0.07,-0.15,0.00
31,10,10,10,50,5155.98,28.83,2.43,0.52,7933138.96,7899533.92,0.24,19.28,0.00,59.32,60.83,11598.08,0.11,-0.05,0.08,0.95,0.34,5214525.85,5233959.96,0.04,23.02,0.00,40.33,40.23,13604.16,0.12,-0.02,0.10
32,10,10,10,50,5340.00,29.00,2.45,0.54,8131465.30,8189614.95,0.25,19.35,0.00,61.65,62.25,11973.67,0.11,-0.06,0.09,1.00,0.34,5352889.06,5389198.10,0.04,23.06,0.00,40.55,40.90,14061.88,0.12,-0.02,0.10
33,10,10,10,50,5010.96,27.32,1.93,0.35,14241580.81,13951254.86,0.22,18.65,0.00,104.58,106.84,1618.44,0.03,0.02,0.00,1.00,0.39,6762097.47,6966094.77,0.04,22.81,0.00,52.06,52.01,23979.54,0.12,0.01,0.05
34,10,10,10,50,5262.00,28.00,1.94,0.37,14376021.29,14482373.24,0.22,19.56,0.00,109.41,110.24,1695.31,0.03,0.02,0.00,1.00,0.40,6940755.94,6990577.39,0.04,23.30,0.00,52.69,53.03,24318.33,0.12,0.01,0.06
35,10,10,10,50,5010.40,27.78,1.54,0.32,17460546.19,18187949.84,0.19,19.25,0.00,136.35,135.57,6568.07,0.05,0.01,0.05,1.00,0.36,9903354.56,9957475.33,0.03,22.94,0.00,72.78,73.96,237.86,0.02,0.01,0.03
36,10,10,10,50,5031.00,28.00,1.61,0.32,18062297.89,18198919.72,0.20,19.58,0.00,137.44,138.61,6663.26,0.06,0.01,0.05,1.00,0.37,10051472.09,10125050.33,0.03,23.21,0.00,76.45,77.03,239.04,0.02,0.01,0.03
37,10,10,10,50,5991.00,27.25,2.11,0.53,17620386.44,17994546.25,0.24,18.68,0.00,136.51,138.56,3527.00,0.03,0.00,0.08,0.97,0.35,12177291.81,12575355.90,0.04,22.85,0.00,93.18,93.01,13437.92,0.11,-0.02,0.00
38,10,10,10,50,6053.00,28.00,2.18,0.53,18385625.55,18525485.50,0.25,19.59,0.00,139.95,141.05,3595.62,0.03,0.00,0.08,1.00,0.37,12508308.33,12601219.70,0.04,23.15,0.00,95.24,95.94,13736.69,0.11,-0.02,0.00
39,10,10,10,100,5319.58,28.92,3.15,0.73,4082046.46,4049411.80,0.27,18.88,0.00,29.63,29.88,14220.01,0.11,0.00,0.05,0.96,0.36,2412679.97,2539366.27,0.03,23.16,0.00,18.94,18.94,13904.42,0.12,-0.01,0.06
40,10,10,10,100,5516.00,29.00,3.30,0.73,4092449.75,4120088.15,0.28,19.50,0.00,30.90,31.10,14681.50,0.11,0.00,0.05,1.00,0.37,2536463.76,2550983.27,0.03,23.26,0.00,19.12,19.21,14440.14,0.12,-0.01,0.06
41,10,10,10,100,5311.36,28.09,2.00,0.43,8388068.75,8284422.04,0.20,19.40,0.00,64.90,64.04,3817.92,0.01,0.01,0.04,0.96,0.37,4850333.36,4781717.24,0.03,22.19,0.00,35.81,36.03,12638.30,0.15,0.01,0.09
